노선번호,노선명,도,시군구,읍면동,출입시설,준공년도
제001호,경부선,부산광역시,금정구,구서동,구서IC,2005
제001호,경부선,부산광역시,금정구,두구동,부산TG,2005
제001호,경부선,부산광역시,금정구,노포동,노포IC,2005
제001호,경부선,부산광역시,금정구,노포동,노포JCT,2005
제001호,경부선,경상남도,양산시,다방동,양산JCT,2005
제001호,경부선,경상남도,양산시,산막동,양산IC,2005
제001호,경부선,울산광역시,울주군,삼남면,통도사하이패스IC,2005
제001호,경부선,울산광역시,울주군,삼남면,통도사IC,2005
제001호,경부선,울산광역시,울주군,삼남면,서울주JCT,2005
제001호,경부선,울산광역시,울주군,삼남면,서울산IC,2005
제001호,경부선,울산광역시,울주군,언양읍,언양JCT,2005
제001호,경부선,울산광역시,울주군,두서면,활천IC,2018
제001호,경부선,경상북도,경주시,율  동,경주IC,2018
제001호,경부선,경상북도,경주시,건천읍,서경주IC,2018
제001호,경부선,경상북도,영천시,북안면,영천JCT,2018
제001호,경부선,경상북도,영천시,본촌동,영천IC,2006
제001호,경부선,경상북도,경산시,진량읍,경산IC,2005
제001호,경부선,대구광역시,동  구,숙천동,동대구JCT,2003
제001호,경부선,대구광역시,동  구,검사동,도동JCT,2003
제001호,경부선,대구광역시,북  구,서변동,북대구IC,2003
제001호,경부선,대구광역시,북  구,금호동,금호JCT,2003
제001호,경부선,경상북도,칠곡군,지천면,칠곡물류IC,2003
제001호,경부선,경상북도,칠곡군,왜관읍,왜관IC,2003
제001호,경부선,경상북도,구미시,임오동,남구미IC,2003
제001호,경부선,경상북도,구미시,신평동,구미IC,2003
제001호,경부선,경상북도,구미시,부곡동,북구미 하이패스IC,2003
제001호,경부선,경상북도,김천시,아포면,김천JCT,1987
제001호,경부선,경상북도,김천시,남  면,동김천IC,2006
제001호,경부선,경상북도,김천시,교 동,김천IC,2006
제001호,경부선,경상북도,김천시,봉산면,추풍령IC,2006
제001호,경부선,충청북도,영동군,황간면,황간IC,2006
제001호,경부선,충청북도,영동군,용산면,영동IC,2006
제001호,경부선,충청북도,옥천군,동이면,금강IC,2003
제001호,경부선,충청북도,옥천군,옥천읍,옥천IC,2005
제001호,경부선,대전광역시,동  구,비룡동,비룡JCT,1999
제001호,경부선,대전광역시,대덕구,송촌동,대전IC,1999
제001호,경부선,대전광역시,대덕구,신대동,회덕JCT,1998
제001호,경부선,대전광역시,대덕구,목상동,신탄진IC,1998
제001호,경부선,충청북도,청주시,남이면,남청주IC,1993
제001호,경부선,충청북도,청주시,남이면,청주JCT,1993
제001호,경부선,충청북도,청주시,신전동,남이JCT,1993
제001호,경부선,충청북도,청주시,석소동,청주IC,1993
제001호,경부선,충청북도,청주시,옥산면,옥산하이패스IC,1993
제001호,경부선,충청북도,청주시,옥산면,옥산JCT,1993
제001호,경부선,충청남도,천안시,성남면,독립기념관IC,1986
제001호,경부선,충청남도,천안시,목천면,천안JCT,2023
제001호,경부선,충청남도,천안시,신부동,천안IC ,2002
제001호,경부선,충청남도,천안시,성거읍,북천안IC,1993
제001호,경부선,경기도,안성시,공도읍,안성IC ,1993
제001호,경부선,경기도,평택시,월곡동,안성JCT,2009
제001호,경부선,경기도,용인시,남사면,남사진위IC,1993
제001호,경부선,경기도,오산시,원동,오산IC ,2006
제001호,경부선,경기도,화성시,동탄면,동탄JCT,2024
제001호,경부선,경기도,화성시,동탄면,기흥동탄IC,2024
제001호,경부선,경기도,화성시,동탄면,기흥IC,1993
제001호,경부선,경기도,용인시,기흥구,수원신갈IC,1993
제001호,경부선,경기도,용인시,기흥구,신갈JCT,2002
제001호,경부선,경기도,용인시,수지구,서울TG,1992
제001호,경부선,경기도,성남시,분당구,판교IC,2009
제001호,경부선,경기도,성남시,분당구,판교JCT,2015
제001호,경부선,경기도,성남시,분당구,대왕판교IC,2015
제001호,경부선,경기도,성남시,수정구,금토JCT,2015
제001호,경부선,서울특별시,서초구,양재동,양재IC,2015
제010호,남해선(영암~순천),전라남도,영암군,학산면,서영암IC,2012
제010호,남해선(영암~순천),전라남도,영암군,서호면,서호학산IC,2012
제010호,남해선(영암~순천),전라남도,강진군,성전면,강진무위사IC,2012
제010호,남해선(영암~순천),전라남도,장흥군,부산면,장흥IC,2012
제010호,남해선(영암~순천),전라남도,보성군,미력면,보성IC,2012
제010호,남해선(영암~순천),전라남도,보성군,벌교읍,벌교IC,2012
제010호,남해선(영암~순천),전라남도,고흥군,동강면,고흥IC,2012
제010호,남해선(영암~순천),전라남도,순천시,인월동,순천만IC,2012
제010호,남해선(영암~순천),전라남도,순천시,해룡면,도롱IC,2012
제010호,남해선(순천~부산),전라남도,순천시,서  면,서순천IC,1996
제010호,남해선(순천~부산),전라남도,순천시,서  면,순천IC,1993
제010호,남해선(순천~부산),전라남도,순천시,서  면,순천JCT,1993
제010호,남해선(순천~부산),전라남도,광양시,광양읍,광양 IC,1992
제010호,남해선(순천~부산),전라남도,광양시,중군동,동광양IC,1992
제010호,남해선(순천~부산),전라남도,광양시,옥곡면,옥곡 IC,1992
제010호,남해선(순천~부산),전라남도,광양시,진월면,진월 IC,1992
제010호,남해선(순천~부산),경상남도,하동군,금남면,하동IC,1992
제010호,남해선(순천~부산),경상남도,하동군,진교면,진교IC,1992
제010호,남해선(순천~부산),경상남도,사천시,곤양면,곤양IC,1992
제010호,남해선(순천~부산),경상남도,사천시,축동면,축동IC,1992
제010호,남해선(순천~부산),경상남도,사천시,축동면,사천IC,2011
제010호,남해선(순천~부산),경상남도,진주시,정촌면,진주JCT,2011
제010호,남해선(순천~부산),경상남도,진주시,가좌동,진주IC,2011
제010호,남해선(순천~부산),경상남도,진주시,문산읍,문산IC,2011
제010호,남해선(순천~부산),경상남도,진주시,진성면,진성IC,2011
제010호,남해선(순천~부산),경상남도,진주시,지수면,지수IC,2011
제010호,남해선(순천~부산),경상남도,함안군,군북면,군북IC,2011
제010호,남해선(순천~부산),경상남도,함안군,군북면,장지IC,2011
제010호,남해선(순천~부산),경상남도,함안군,가야읍,함안IC,2011
제010호,남해선(순천~부산),경상남도,함안군,산인면,산인JCT,1989
제010호,남해선(순천~부산),경상남도,함안군,칠원면,칠원JCT,2001
제010호,남해선(순천~부산),경상남도,창원시,북면,북창원IC,2001
제010호,남해선(순천~부산),경상남도,창원시,동읍,창원JCT,2001
제010호,남해선(순천~부산),경상남도,김해시,진영읍,동창원IC,2001
제010호,남해선(순천~부산),경상남도,김해시,진영읍,진영JCT,2001
제010호,남해선(순천~부산),경상남도,김해시,진례면,진례IC,2001
제010호,남해선(순천~부산),경상남도,김해시,주촌면,냉정JCT,2014
제010호,남해선(순천~부산),경상남도,김해시,풍유동,서김해IC,2014
제010호,남해선(순천~부산),경상남도,김해시,부원동,동김해IC,2014
제010호,남해선(순천~부산),경상남도,김해시,지내동,김해JCT,2014
제010호,남해선(순천~부산),경상남도,김해시,강동동,북부산TG,2014
제010호,남해선(순천~부산),경상남도,김해시,강동동,대저JCT,2014
제012호,무안광주선,전라남도,무안군,망운면,무안공항IC,2007
제012호,무안광주선,전라남도,무안군,무안읍,북무안IC무안공항TG,2007
제012호,무안광주선,전라남도,함평군,함평읍,함평JCT,2007
제012호,무안광주선,전라남도,함평군,학교면,동함평IC,2007
제012호,무안광주선,전라남도,나주시,문평면,문평IC,2007
제012호,무안광주선,전라남도,나주시,노안면,나주IC,2007
제012호,무안광주선,전라남도,나주시,노안면,서광산IC,2007
제012호,무안광주선,광주광역시,광산구,운수동,운수IC,2008
제012호,광주대구선,광주광역시,북  구,망월동,문흥IC,2009
제012호,광주대구선,광주광역시,북  구,망월동,동광주TG,2009
제012호,광주대구선,전라남도,담양군,고서면,고서JCT,2006
제012호,광주대구선,전라남도,담양군,봉산면,담양JCT,2006
제012호,광주대구선,전라남도,담양군,무정면,담양IC,2006
제012호,광주대구선,전라북도,순창군,순창읍,순창IC,2015
제012호,광주대구선,전라북도,남원시,대산면,남원JCT,2015
제012호,광주대구선,전라북도,남원시,월락동,남원IC,2015
제012호,광주대구선,전라북도,남원시,산동면,동남원IC,2015
제012호,광주대구선,전라북도,남원시,아영면,지리산IC,2015
제012호,광주대구선,경상남도,함양군,병곡면,서함양하이패스IC,2015
제012호,광주대구선,경상남도,함양군,함양읍,함양IC,2015
제012호,광주대구선,경상남도,함양군,함양읍,함양JCT,2015
제012호,광주대구선,경상남도,거창군,남상면,거창IC,2015
제012호,광주대구선,경상남도,거창군,가조면,가조IC,2015
제012호,광주대구선,경상남도,합천군,야로면,해인사IC,2015
제012호,광주대구선,경상북도,고령군,쌍림면,고령IC,2015
제012호,광주대구선,경상북도,고령군,성산면,동고령IC,2006
제012호,광주대구선,경상북도,고령군,성산면,고령JCT,2006
제012호,광주대구선,대구광역시,달성군,옥포면,옥포JCT,2006
제014호,함양울산선(창녕~밀양),경상남도,창녕군,장마면,시점,2024
제014호,함양울산선(창녕~밀양),경상남도,창녕군,계성면,창녕JCT,2024
제014호,함양울산선(창녕~밀양),경상남도,밀양시,무안면,서밀양IC,2024
제014호,함양울산선(밀양-울산),경상남도,밀양시,산외면,밀양JCT,2020
제014호,함양울산선(밀양-울산),경상남도,양산시,원동면,배내골IC,2020
제014호,함양울산선(밀양-울산),울산광역시,울주군,삼동면,서울주 JCT,2020
제014호,함양울산선(밀양-울산),울산광역시,울주군,청량면,울주JCT,2020
제253호,고창담양선,전라북도,고창군,고수면,고창JCT,2007
제253호,고창담양선,전라북도,고창군,고수면,남고창IC,2007
제253호,고창담양선,전라남도,장성군,서삼면,장성물류IC,2007
제253호,고창담양선,전라남도,장성군,장성읍,장성JCT,2007
제253호,고창담양선,전라남도,장성군,진원면,북광주IC,2006
제253호,고창담양선,전라남도,담양군,창평면,담양JCT,2006
제253호,고창담양선,전라남도,담양군,대덕면,대덕JCT,2006
제015호,서해안선,전라남도,무안군,삼향면,목포IC,1998
제015호,서해안선,전라남도,무안군,삼향면,죽림IC,1998
제015호,서해안선,전라남도,무안군,일로읍,일로IC,1998
제015호,서해안선,전라남도,무안군,일로읍,목포TG,1998
제015호,서해안선,전라남도,무안군,무안읍,무안IC,1998
제015호,서해안선,전라남도,함평군,함평읍,함평JCT,2001
제015호,서해안선,전라남도,함평군,함평읍,함평IC,2001
제015호,서해안선,전라남도,영광군,불갑면,불갑산 하이패스IC,2001
제015호,서해안선,전라남도,영광군,대마면,영광IC,2001
제015호,서해안선,전라북도,고창군,고수면,고창JCT,2001
제015호,서해안선,전라북도,고창군,고창읍,고창IC,2001
제015호,서해안선,전라북도,고창군,흥덕면,선운산IC,2001
제015호,서해안선,전라북도,부안군,줄포면,줄포IC,2001
제015호,서해안선,전라북도,부안군,동진면,부안IC,2001
제015호,서해안선,전라북도,김제시,성덕면,서김제IC,2001
제015호,서해안선,전라북도,군산시,대야면,동군산IC,1997
제015호,서해안선,전라북도,군산시,성산면,군산IC,1997
제015호,서해안선,충청남도,서천군,화양면,동서천JCT,1998
제015호,서해안선,충청남도,서천군,종천면,서천IC,2001
제015호,서해안선,충청남도,보령시,주산면,춘장대IC,2001
제015호,서해안선,충청남도,보령시,웅천읍,무창포IC,2001
제015호,서해안선,충청남도,보령시,내항동,대천IC,2001
제015호,서해안선,충청남도,보령시,천북면,광천IC ,2001
제015호,서해안선,충청남도,홍성군,갈산면,홍성IC,2001
제015호,서해안선,충청남도,서산시,해미면,해미IC,2001
제015호,서해안선,충청남도,서산시,운산면,서산IC,2001
제015호,서해안선,충청남도,당진시,사기소동,당진JCT,2001
제015호,서해안선,충청남도,당진시,송악읍,당진IC,2000
제015호,서해안선,충청남도,당진시,송악읍,송악IC,2000
제015호,서해안선,충청남도,당진시,송악읍,행담도(휴),2000
제015호,서해안선,경기도,평택시,포승읍,포승JCT,2000
제015호,서해안선,경기도,평택시,포승읍,서평택IC,2019
제015호,서해안선,경기도,평택시,청북면,서평택JCT,2018
제015호,서해안선,경기도,화성시,팔탄면,발안IC,1996
제015호,서해안선,경기도,화성시,팔탄면,팔탄JCT,1996
제015호,서해안선,경기도,화성시,비봉면,비봉IC,2011
제015호,서해안선,경기도,화성시,매송면,매송IC,2011
제015호,서해안선,경기도,안산시,팔곡1동,팔곡JCT,1996
제015호,서해안선,경기도,안산시,부곡동,안산JCT,2015
제015호,서해안선,경기도,안산시,장하동,서서울TG,2015
제015호,서해안선,경기도,시흥시,조남동,조남JCT,2015
제015호,서해안선,경기도,시흥시,목감동,목감IC,2015
제015호,서해안선,경기도,안양시,박달동,광명역IC,2015
제015호,서해안선,경기도,광명시,일직동,일직JCT,2016
제015호,서해안선,서울특별시,금천구,독산동,금천IC ,1998
제016호,울산선,울산광역시,울주군,언양읍,언양JCT,1969
제016호,울산선,울산광역시,울주군,범서면,울산JCT,2009
제016호,울산선,울산광역시,울주군,범서면,울산TG,2008
제016호,울산선,울산광역시,울주군,범서면,관리종점,2008
제016호,울산선,울산광역시,남  구,무거동,노선종점,2008
제204호,새만금포항선지선,전라북도,익산시,왕궁면,익산JCT,2007
제204호,새만금포항선지선,전라북도,완주군,봉동읍,완주IC,2007
제204호,새만금포항선지선,전라북도,완주군,용진면,완주JCT,2007
제204호,새만금포항선지선,전라북도,완주군,소양면,소양IC,2007
제020호,새만금포항선(완주~장수),전라북도,진안군,진안읍,진안IC,2007
제020호,새만금포항선(완주~장수),전라북도,장수군,계남면,장수IC,2007
제020호,새만금포항선(완주~장수),전라북도,장수군,장계면,장수JCT,2001
제020호,새만금포항선(대구~포항),대구광역시,동구,도동,팔공산IC,2004
제020호,새만금포항선(대구~포항),대구광역시,동구,도동,도동JCT,2004
제020호,새만금포항선(대구~포항),경상북도,영천시,청통면,청통와촌IC,2004
제020호,새만금포항선(대구~포항),경상북도,영천시,화산면,화산JCT,2004
제020호,새만금포항선(대구~포항),경상북도,영천시,매산동,북영천IC,2004
제020호,새만금포항선(대구~포항),경상북도,영천시,임고면,임고하이패스IC,2004
제020호,새만금포항선(대구~포항),경상북도,포항시,기계면,서포항IC,2004
제020호,새만금포항선(대구~포항),경상북도,포항시,연일읍,포항TG,2004
제020호,새만금포항선(대구~포항),경상북도,포항시,연일읍,학전IC,2009
제020호,새만금포항선(대구~포항),경상북도,포항시,연일읍,포항IC,2009
제025호,호남선,전라남도,순천시,승주읍,승주IC,1996
제025호,호남선,전라남도,순천시,주암면,주암IC,1996
제025호,호남선,전라남도,곡성군,석곡면,석곡IC,1996
제025호,호남선,전라남도,곡성군,삼기면,곡성IC,1996
제025호,호남선,전라남도,곡성군,오산면,옥과IC,1996
제025호,호남선,전라남도,담양군,대덕면,대덕JCT,1996
제025호,호남선,전라남도,담양군,창평면,창평IC,1996
제025호,호남선,전라남도,담양군,고서면,고서JCT,2006
제025호,호남선,광주광역시,북  구,망월동,동광주TG,2009
제025호,호남선,광주광역시,북  구,망월동,문흥IC,2009
제025호,호남선,광주광역시,북  구,문흥동,동광주IC,1989
제025호,호남선,광주광역시,북  구,용봉동,용봉IC,1989
제025호,호남선,광주광역시,북  구,매곡동,서광주IC,1986
제025호,호남선,광주광역시,북  구,동림동,동림IC,1986
제025호,호남선,광주광역시,광산구,수완동,산월IC,1986
제025호,호남선,광주광역시,광산구,월계동,광산IC,1986
제025호,호남선,전라남도,장성군,남  면,북광산IC,1986
제025호,호남선,전라남도,장성군,남  면,광주TG,1986
제025호,호남선,전라남도,장성군,남  면,남장성JCT,2012
제025호,호남선,전라남도,장성군,장성읍,장성IC,2012
제025호,호남선,전라남도,장성군,장성읍,북장성하이패스IC,2012
제025호,호남선,전라남도,장성군,장성읍,장성JCT,2006
제025호,호남선,전라남도,장성군,북이면,백양사IC,2008
제025호,호남선,전라북도,정읍시,입암면,내장산IC,2012
제025호,호남선,전라북도,정읍시,농소동,정읍IC,1986
제025호,호남선,전라북도,정읍시,태인면,태인IC,1986
제025호,호남선,전라북도,김제시,금산면,금산사IC,1986
제025호,호남선,전라북도,김제시,금구면,김제IC,1986
제025호,호남선,전라북도,완주군,이서면,서전주IC,1986
제025호,호남선,전라북도,전주시,용정동,전주IC,1986
제025호,호남선,전라북도,익산시,왕궁면,삼례IC,2010
제025호,호남선,전라북도,익산시,왕궁면,익산JCT,2010
제025호,호남선,전라북도,완주군,봉동읍,익산IC,2010
제025호,호남선,충청남도,논산시,연무읍,논산JCT,1986
제025호,논산천안선,충청남도,논산시,연무읍,남논산TG,2002
제025호,논산천안선,충청남도,논산시,채운면,연무IC,2002
제025호,논산천안선,충청남도,논산시,광석면,서논산IC,2002
제025호,논산천안선,충청남도,공주시,탄천면,탄천IC,2002
제025호,논산천안선,충청남도,공주시,검상동,남공주IC,2002
제025호,논산천안선,충청남도,공주시,우성면,공주JCT,2002
제025호,논산천안선,충청남도,공주시,우성면,북공주JCT,2002
제025호,논산천안선,충청남도,공주시,정안면,정안IC ,2002
제025호,논산천안선,충청남도,천안시,풍세면,풍세TG,2002
제025호,논산천안선,충청남도,천안시,목천면,남천안IC,2002
제025호,논산천안선,충청남도,천안시,목천면,천안JCT,2002
제027호,순천완주선,전라남도,순천시,해룡면,동순천IC,2011
제027호,순천완주선,전라남도,순천시,왕지동,순천JCT,2011
제027호,순천완주선,전라남도,순천시,황전면,황전IC,2011
제027호,순천완주선,전라남도,구례군,용방면,구례화엄사IC,2011
제027호,순천완주선,전라북도,남원시,송동면,서남원IC,2011
제027호,순천완주선,전라북도,남원시,대산면,남원JCT,2010
제027호,순천완주선,전라북도,남원시,대산면,북남원IC,2011
제027호,순천완주선,전라북도,임실군,오수면,오수IC,2010
제027호,순천완주선,전라북도,임실군,성수면,임실IC,2010
제027호,순천완주선,전라북도,완주군,상관면,상관IC,2010
제027호,순천완주선,전라북도,전주시,덕진구,동전주IC,2010
제027호,순천완주선,전라북도,완주군,용진면,완주JCT,2010
제029호,세종포천선(세종안성),경기도,안성시,금광면,남안성JCT,2024
제029호,세종포천선(안성구리),경기도,안성시,금광면,시점,2024
제029호,세종포천선(안성구리),경기도,안성시,보개면,안성맞춤IC,2024
제029호,세종포천선(안성구리),경기도,안성시,고삼면,고삼하이패스IC,2024
제029호,세종포천선(안성구리),경기도,용인시,원삼면,남용인IC,2024
제029호,세종포천선(안성구리),경기도,안성시,양지면,용인JCT,2024
제029호,세종포천선(안성구리),경기도,용인시,포곡읍,북용인JCT,2024
제029호,세종포천선(안성구리),경기도,용인시,모현읍,북용인IC,2024
제029호,세종포천선(안성구리),경기도,용인시,모현읍,오포(세종)IC,2024
제029호,세종포천선(안성구리),경기도,광주시,추자동,오포(포천)IC,2024
제029호,세종포천선(안성구리),경기도,광주시,직동,광남IC,2024
제029호,세종포천선(안성구리),경기도,하남시,광암동,서하남JCT,2024
제029호,세종포천선(안성구리),경기도,하남시,감북동,하남감북TG,2024
제029호,세종포천선(안성구리),경기도,하남시,감북동,초이IC,2024
제029호,세종포천선(안성구리),서울특별시,강동구,고덕동,강동고덕IC,2024
제029호,세종포천선(안성구리),경기도,구리시,토평동,남구리IC,2024
제029호,세종포천선(안성구리),경기도,구리시,토평동,종점,2024
제029호,세종포천선(구리포천),경기도,구리시,토평동,시점,2017
제029호,세종포천선(구리포천),서울시,중랑구,신내동,중랑IC,2017
제029호,세종포천선(구리포천),서울시,중랑구,신내동,갈매동구릉TG,2017
제029호,세종포천선(구리포천),경기도,남양주시,별내동,남별내IC,2017
제029호,세종포천선(구리포천),경기도,의정부시,산곡동,동의정부IC,2017
제029호,세종포천선(구리포천),경기도,의정부시,민락동,민락IC,2017
제029호,세종포천선(구리포천),경기도,포천시,소흘읍,소흘IC,2017
제029호,세종포천선(구리포천),경기도,포천시,소흘읍,소흘JCT,2017
제029호,세종포천선(구리포천),경기도,포천시,가산면,선단IC,2017
제029호,세종포천선(구리포천),경기도,포천시,군내면,포천IC,2017
제029호,세종포천선(구리포천),경기도,포천시,신북면,신북IC,2017
제400호,수도권제2순환선(양주~포천),경기도,양주시,율정동,옥정IC,2017
제400호,수도권제2순환선(파주~양주),경기도,양주시,회암동,양주IC,2024
제400호,수도권제2순환선(파주~양주),경기도,양주시,은현면,북양주IC,2024
제400호,수도권제2순환선(파주~양주),경기도,양주시,광적면,서양주IC,2024
제400호,수도권제2순환선(파주~양주),경기도,파주시,법원읍,법원IC,2024
제030호,서산영덕선(대전당진선),충청남도,당진시,사기소동,당진JCT,2009
제030호,서산영덕선(대전당진선),충청남도,당진시,면천면,면천IC,2009
제030호,서산영덕선(대전당진선),충청남도,예산군,고덕면,고덕IC,2009
제030호,서산영덕선(대전당진선),충청남도,예산군,오가면,예산수덕사IC,2009
제030호,서산영덕선(대전당진선),충청남도,예산군,응봉면,예산JCT,2009
제030호,서산영덕선(대전당진선),충청남도,예산군,신양면,신양IC,2009
제030호,서산영덕선(대전당진선),충청남도,공주시,유구읍,유구IC,2009
제030호,서산영덕선(대전당진선),충청남도,공주시,사곡면,마곡사IC,2009
제030호,서산영덕선(대전당진선),충청남도,공주시,우성면,서공주JCT,2009
제030호,서산영덕선(대전당진선),충청남도,공주시,우성면,공주JCT,2009
제030호,서산영덕선(대전당진선),충청남도,공주시,의당면,공주IC,2009
제030호,서산영덕선(대전당진선),세종특별자치시,세종특별자치시,장군면,서세종IC,2009
제030호,서산영덕선(대전당진선),대전광역시,유성구,안산동,남세종IC,2009
제030호,서산영덕선(대전당진선),대전광역시,유성구,자운동,유성JCT,2009
제030호,서산영덕선(청주상주선),충청북도,청주시,남이면,청주JCT,2007
제030호,서산영덕선(청주상주선),충청북도,청주시,문의면,문의IC,2007
제030호,서산영덕선(청주상주선),충청북도,보은군,회인면,회인IC,2007
제030호,서산영덕선(청주상주선),충청북도,보은군,보은읍,보은IC,2007
제030호,서산영덕선(청주상주선),충청북도,보은군,탄부면,속리산IC,2007
제030호,서산영덕선(청주상주선),충청북도,보은군,마로면,구병산하이패스IC,2007
제030호,서산영덕선(청주상주선),경상북도,상주시,화서면,화서IC,2007
제030호,서산영덕선(청주상주선),경상북도,상주시,양촌동,남상주IC,2007
제030호,서산영덕선(청주상주선),경상북도,상주시,낙동면,낙동JCT,2007
제030호,서산영덕선(상주영덕선),경상북도,상주시,낙동면,상주JCT,2016
제030호,서산영덕선(상주영덕선),경상북도,상주시,낙동면,동상주IC,2016
제030호,서산영덕선(상주영덕선),경상북도,의성군,단밀면,서의성IC,2016
제030호,서산영덕선(상주영덕선),경상북도,안동시,일직면,안동JCT,2016
