본부,지사,노선명,방향,시설구분,시설물명,세부시설1,세부시설2,곡선반경,시점,종점,연장,설치차로,설치연도,포장형식,방향구분,규격,비고,연장총합
전북본부,진안지사,완주장수선,완주,본선,,직선부,,0.000,29.400,29.600,0.200,2,2007,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,직선부,,0.000,29.400,29.600,0.200,1,2007,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,1200.000,22.600,23.100,0.500,2,2007,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,1200.000,22.600,23.100,0.500,1,2007,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,장수,TG광장부,,0.000,58.808,58.808,0.000,1,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,진안,TG광장부,,0.000,43.120,43.120,0.000,1,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,직선부,,0.000,54.000,54.200,0.200,2,2008,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,직선부,,0.000,54.000,54.200,0.200,1,2008,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,2130.000,41.600,42.100,0.500,2,2008,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,2130.000,41.600,42.100,0.500,1,2008,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,장수,TG광장부,,0.000,58.808,58.808,0.000,1,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,소양,TG광장부,,0.000,16.520,16.520,0.000,2,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,소양,TG광장부,,0.000,16.520,16.520,0.000,1,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,2000.000,26.000,26.300,0.300,2,2010,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,2000.000,26.000,26.300,0.300,1,2010,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,완주,IC,소양,램프(A~J),,3000.000,0.280,0.880,0.600,1,2008,콘크리트,횡방향,9*4*40,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,진안,TG광장부,,0.000,43.120,43.120,0.000,1,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,1250.000,24.400,25.300,0.900,2,2007,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,소양,TG광장부,,0.000,16.520,16.520,0.000,1,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,진안지사,완주장수선,완주,본선,,곡선부,,1250.000,24.400,25.300,0.900,1,2007,콘크리트,종방향,9*4*50,,4646.7070
전북본부,진안지사,완주장수선,장수,IC,소양,TG광장부,,0.000,16.520,16.520,0.000,2,2007,콘크리트,횡방향,100*8*1000,,4646.7070
전북본부,논산지사,완주장수선,장수,IC,완주,TG광장부,,0.000,7.600,7.600,0.000,1,2008,콘크리트,횡방향,100×10×800,하이패스 차로만 설치,4646.7070
광주전남본부,광주지사,광주대구선,광주,JCT,고서,램프,,500.000,0.010,0.034,0.024,2,2009,아스팔트,종방향,4×4×30,,4646.7070
광주전남본부,광주지사,광주대구선,광주,JCT,고서,램프,,500.000,0.010,0.034,0.024,1,2009,아스팔트,종방향,4×4×30,,4646.7070
광주전남본부,광주지사,광주대구선,대구,JCT,고서,램프,,600.000,0.010,0.034,0.024,2,2009,콘크리트,종방향,4×4×30,,4646.7070
광주전남본부,광주지사,광주대구선,대구,JCT,고서,램프,,600.000,0.010,0.034,0.024,1,2009,콘크리트,종방향,4×4×30,,4646.7070
