"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202503","0010VDS08100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS08102","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS08151","1","1452145","2.42","96.46","89093","187","20250401083008"
"202503","0010VDS08200","1","1668523","2.69","93.99","89225","55","20250401083008"
"202503","0010VDS08300","1","2084306","4.70","95.19","86086","3187","20250401083008"
"202503","0010VDS08400","1","2243286","6.68","95.88","89109","171","20250401083008"
"202503","0010VDS08500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS08600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS08700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS08800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS08900","1","1804690","5.48","95.77","89274","6","20250401083008"
"202503","0010VDS08920","1","1354061","6.05","92.00","89199","81","20250401083008"
"202503","0010VDS09000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS09100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS09200","1","1867038","6.90","92.74","89010","270","20250401083008"
"202503","0010VDS09300","1","1882457","6.66","92.62","89273","7","20250401083008"
"202503","0010VDS09400","1","1794580","5.49","87.80","89280","0","20250401083008"
"202503","0010VDS09500","1","1824689","6.40","93.26","89136","144","20250401083008"
"202503","0010VDS09600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS09700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS09800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS09900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10100","1","1444123","4.33","99.03","89268","12","20250401083008"
"202503","0010VDS10200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10350","1","1382659","6.08","100.69","89249","31","20250401083008"
"202503","0010VDS10400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10600","1","1443608","4.31","95.36","89277","3","20250401083008"
"202503","0010VDS10700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS10900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11200","1","1436811","4.31","96.57","88247","12","20250401083008"
"202503","0010VDS11300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11650","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS11700","1","1118468","3.89","103.50","89145","135","20250401083008"
"202503","0010VDS11800","1","1215286","4.17","99.58","89276","4","20250401083008"
"202503","0010VDS11900","1","910727","3.56","107.21","89209","71","20250401083008"
"202503","0010VDS12000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS12100","1","1103047","3.51","99.07","88979","10","20250401083008"
"202503","0010VDS12200","1","1237448","4.12","100.41","88951","329","20250401083008"
"202503","0010VDS12300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS12400","1","1131303","4.26","97.29","88983","297","20250401083008"
"202503","0010VDS12500","1","1095763","4.05","102.92","89214","66","20250401083008"
"202503","0010VDS12600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS12700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS12800","1","1114463","3.98","101.32","89210","70","20250401083008"
"202503","0010VDS12900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13100","1","133025","5.93","89.00","15124","1001","20250401083008"
"202503","0010VDS13200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13650","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13651","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS13900","1","553168","2.66","95.22","88852","428","20250401083008"
"202503","0010VDS14100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS14900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS15600","1","514203","2.98","101.75","89034","246","20250401083008"
"202503","0010VDS15700","1","505894","3.53","94.64","87939","206","20250401083008"
"202503","0010VDS15800","1","470031","2.47","94.74","88395","885","20250401083008"
"202503","0010VDS15900","1","517020","2.76","91.99","89243","37","20250401083008"
"202503","0010VDS16000","1","291862","2.59","81.14","89214","66","20250401083008"
"202503","0010VDS16100","1","563723","2.45","91.10","86860","2419","20250401083008"
"202503","0010VDS16200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS16300","1","631981","2.84","95.73","80048","9225","20250401083008"
"202503","0010VDS16400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS16500","1","517305","3.34","99.64","89221","59","20250401083008"
"202503","0010VDS16600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS16700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS16800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS16900","1","530380","2.22","94.33","88611","669","20250401083008"
"202503","0010VDS17000","1","524245","2.66","93.05","86847","542","20250401083008"
"202503","0010VDS17100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS17200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS17300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS17400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS17500","1","506994","2.86","96.19","87109","1788","20250401083008"
"202503","0010VDS17600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS17700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS17800","1","547593","3.14","94.17","88836","404","20250401083008"
"202503","0010VDS17900","1","550818","1.30","96.97","89254","26","20250401083008"
"202503","0010VDS17951","1","551638","0.34","99.39","88536","744","20250401083008"
"202503","0010VDS17952","1","652511","0.34","99.45","88478","799","20250401083008"
"202503","0010VDS17953","1","554405","0.33","98.46","88513","767","20250401083008"
"202503","0010VDS17954","1","552943","0.33","96.29","88492","788","20250401083008"
"202503","0010VDS17956","1","554129","0.33","89.15","88502","775","20250401083008"
"202503","0010VDS17957","1","437821","0.43","96.56","88535","745","20250401083008"
"202503","0010VDS18540","1","563102","2.04","96.77","88416","829","20250401083008"
"202503","0010VDS18551","1","547335","3.44","96.81","88739","457","20250401083008"
"202503","0010VDS18552","1","547455","3.42","96.34","88825","433","20250401083008"
"202503","0010VDS18553","1","609530","3.48","94.77","89138","103","20250401083008"
"202503","0010VDS18554","1","547351","3.57","92.11","88874","406","20250401083008"
"202503","0010VDS18555","1","547373","3.58","91.46","88811","462","20250401083008"
"202503","0010VDS18556","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS18700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS18800","1","500752","3.84","95.82","88500","780","20250401083008"
"202503","0010VDS18900","1","562218","4.16","97.68","89268","12","20250401083008"
"202503","0010VDS19000","1","195181","2.97","88.47","89277","3","20250401083008"
"202503","0010VDS19100","1","587426","4.12","93.05","89277","3","20250401083008"
"202503","0010VDS19200","1","547835","3.92","94.17","89279","1","20250401083008"
"202503","0010VDS19300","1","561977","3.13","91.47","89118","52","20250401083008"
"202503","0010VDS19500","1","603786","1.75","92.23","88963","206","20250401083008"
"202503","0010VDS19600","1","526622","2.23","90.63","89237","43","20250401083008"
"202503","0010VDS19720","1","576344","2.13","91.31","89173","107","20250401083008"
"202503","0010VDS19800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS19900","1","855734","3.04","93.42","89190","90","20250401083008"
"202503","0010VDS20000","1","734158","3.01","96.85","89191","89","20250401083008"
"202503","0010VDS20100","1","846667","3.06","90.28","89091","133","20250401083008"
"202503","0010VDS20110","1","941130","3.17","94.10","88763","505","20250401083008"
"202503","0010VDS20203","1","874893","3.36","91.08","89067","213","20250401083008"
"202503","0010VDS20300","1","954258","3.02","91.31","89051","173","20250401083008"
"202503","0010VDS20400","1","878618","3.05","91.95","89277","3","20250401083008"
"202503","0010VDS20500","1","867728","2.66","98.34","89234","46","20250401083008"
"202503","0010VDS20600","1","824592","2.83","94.59","88898","337","20250401083008"
"202503","0010VDS20750","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS20780","1","1143113","4.98","88.44","86623","2434","20250401083008"
"202503","0010VDS20800","1","48139","6.47","91.04","89280","0","20250401083008"
"202503","0010VDS20900","1","912042","4.84","95.79","89269","11","20250401083008"
"202503","0010VDS21000","1","1235136","7.70","84.55","89001","279","20250401083008"
"202503","0010VDS21100","1","1230703","5.61","97.10","89280","0","20250401083008"
"202503","0010VDS21200","1","501103","14.00","82.10","89280","0","20250401083008"
"202503","0010VDS21210","1","0","0.00","0.00","89280","0","20250401083008"
"202503","0010VDS21310","1","432567","6.14","71.89","89275","5","20250401083008"
"202503","0010VDS21350","1","614950","8.77","83.69","89280","0","20250401083008"
"202503","0010VDS21400","1","641547","4.39","79.43","89253","10","20250401083008"
"202503","0010VDS21500","1","853073","5.50","88.44","89274","6","20250401083008"
"202503","0010VDS21600","1","1446776","5.39","96.22","89279","1","20250401083008"
"202503","0010VDS21610","1","108234","10.46","37.49","88964","316","20250401083008"
"202503","0010VDS21620","1","43068","19.30","28.16","88986","294","20250401083008"
"202503","0010VDS21700","1","1020025","11.25","98.53","89280","0","20250401083008"
"202503","0010VDS21800","1","1426304","6.00","94.88","89277","3","20250401083008"
"202503","0010VDS21900","1","1693805","6.52","93.95","89276","4","20250401083008"
"202503","0010VDS22000","1","1653292","7.80","86.43","89278","2","20250401083008"
"202503","0010VDS22100","1","1848732","4.96","88.75","89280","0","20250401083008"
"202503","0010VDS22200","1","1710069","6.80","96.63","89280","0","20250401083008"
"202503","0010VDS22300","1","957787","3.91","97.21","89280","0","20250401083008"
"202503","0010VDS22400","1","1816724","8.53","96.35","89280","0","20250401083008"
"202503","0010VDS22500","1","1312263","4.39","109.90","89280","0","20250401083008"
"202503","0010VDS22600","1","1793136","6.34","99.36","89253","27","20250401083008"
"202503","0010VDS22700","1","1752080","7.03","92.47","89280","0","20250401083008"
"202503","0010VDS22710","1","108024","5.37","59.29","72466","14","20250401083008"
"202503","0010VDS22720","1","143477","4.77","46.14","72474","6","20250401083008"
"202503","0010VDS22800","1","1204842","7.74","91.12","89279","1","20250401083008"
"202503","0010VDS22900","1","1565111","4.99","103.27","89274","6","20250401083008"
"202503","0010VDS23000","1","1096672","5.57","100.65","89261","19","20250401083008"
"202503","0010VDS23010","1","372019","2.88","105.18","89241","19","20250401083008"
"202503","0010VDS23020","1","12291","1.67","111.13","89241","19","20250401083008"
"202503","0010VDS23050","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS23350","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS23400","1","652275","4.13","87.27","89273","7","20250401083008"
"202503","0010VDS23500","1","476","13.29","90.61","89271","9","20250401083008"
"202503","0010VDS23600","1","938507","6.00","103.12","89259","21","20250401083008"
"202503","0010VDS23610","1","183070","5.71","73.97","72461","19","20250401083008"
"202503","0010VDS23620","1","69239","5.07","56.01","72461","19","20250401083008"
"202503","0010VDS23700","1","939040","6.00","103.13","89274","6","20250401083008"
"202503","0010VDS23800","1","317912","6.76","89.92","88812","148","20250401083008"
"202503","0010VDS23900","1","903070","7.07","99.95","88969","311","20250401083008"
"202503","0010VDS24000","1","77","95.13","77.62","89280","0","20250401083008"
"202503","0010VDS24100","1","1333468","4.82","83.34","88976","125","20250401083008"
"202503","0010VDS24200","1","1497656","4.14","92.34","88862","418","20250401083008"
"202503","0010VDS24300","1","4762","6.69","92.73","89280","0","20250401083008"
"202503","0010VDS24400","1","1190423","6.63","88.62","89280","0","20250401083008"
"202503","0010VDS24500","1","1013470","6.10","95.59","89206","10","20250401083008"
"202503","0010VDS24600","1","855081","9.69","89.17","82766","1131","20250401083008"
"202503","0010VDS24700","1","319098","6.54","106.39","89257","23","20250401083008"
"202503","0010VDS24800","1","1596674","15.27","77.13","89280","0","20250401083008"
"202503","0010VDS24900","1","1554905","6.56","87.74","89280","0","20250401083008"
"202503","0010VDS25000","1","1532109","7.21","93.85","89274","6","20250401083008"
"202503","0010VDS25100","1","1618434","6.81","96.28","88962","317","20250401083008"
"202503","0010VDS25200","1","1616910","7.86","94.19","89204","76","20250401083008"
"202503","0010VDS25300","1","1524436","7.13","104.17","89269","11","20250401083008"
"202503","0010VDS25310","1","-1","-1.00","-1.00","0","220","20250401083008"
"202503","0010VDS25320","1","-1","-1.00","-1.00","0","220","20250401083008"
"202503","0010VDS25450","1","1550146","8.61","94.40","89280","0","20250401083008"
"202503","0010VDS25500","1","1551325","4.12","88.04","89261","19","20250401083008"
"202503","0010VDS25600","1","1408811","4.28","87.37","89181","99","20250401083008"
"202503","0010VDS25610","1","-1","-1.00","-1.00","0","220","20250401083008"
"202503","0010VDS25680","1","1017619","2.06","107.24","89188","92","20250401083008"
"202503","0010VDS25700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS25800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS25810","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS25900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS26000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS26100","1","-1","-1.00","-1.00","0","0","20250401083008"
