Á¶°Çº°ºÐ¼®,,,,,,,,,
[°Ë»öÁ¶°Ç],,,,,,,,,
,ºÐ·ù: Áö»ó,,,,,,,,
,¿ä¼Ò : ±â¿Â,,,,,,,,
,°Ë»ö±¸ºÐ : ¿ù,,,,,,,,
,Áö¿ª/ÁöÁ¡¸í : °­¸ª,,,,,,,,
,±â°£ : 1904 ~ 2025³â 01 ~ 12¿ù,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"		ÁöÁ¡¹øÈ£",ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡É),Æò±ÕÃÖ°í±â¿Â(¡É),ÃÖ°í±â¿Â(¡É),"	ÃÖ°í±â¿ÂÀÏÀÚ",Æò±ÕÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿ÂÀÏÀÚ
"		105",°­¸ª,11-Oct,,,26.2,1911-10-04,,6,1911-10-09
"		105",°­¸ª,11-Nov,,,19.5,1911-11-04,,-1.3,1911-11-26
"		105",°­¸ª,11-Dec,,,15.1,1911-12-02,,-5.6,1911-12-15
"		105",°­¸ª,12-Jan,-0.9,3.2,9.3,1912-01-05,-4.2,-9.2,1912-01-16
"		105",°­¸ª,12-Feb,2.7,7,13.3,1912-02-24,-0.8,-5.1,1912-02-18
"		105",°­¸ª,12-Mar,5.8,10.7,19.4,1912-03-20,1.6,-2.1,1912-03-14
"		105",°­¸ª,12-Apr,12.1,18.4,28.8,1912-04-28,7.1,1.1,1912-04-02
"		105",°­¸ª,12-May,15.1,21,29,1912-05-17,10.6,3.7,1912-05-10
"		105",°­¸ª,12-Jun,19,23.9,30.4,1912-06-28,15.5,9.2,1912-06-01
"		105",°­¸ª,12-Jul,23.1,27.4,35.9,1912-07-31,19.8,14.2,1912-07-25
"		105",°­¸ª,12-Aug,24.1,28.6,36.3,1912-08-02,21.1,17,1912-08-31
"		105",°­¸ª,12-Sep,18.4,23.7,30.8,1912-09-03,14.7,11.1,1912-09-19
"		105",°­¸ª,12-Oct,13.7,19.6,26.1,1912-10-06,8.5,2.1,1912-10-22
"		105",°­¸ª,12-Nov,6.3,11.4,23.5,1912-11-04,1.9,-6,1912-11-15
"		105",°­¸ª,12-Dec,1.4,5.6,11.4,1912-12-13,-2.1,-10.2,1912-12-23
"		105",°­¸ª,13-Jan,-1.1,3.1,7.9,1913-01-03,-4.8,-11.4,1913-01-13
"		105",°­¸ª,13-Feb,0.4,5.5,16.1,1913-02-21,-4,-15.4,1913-02-10
"		105",°­¸ª,13-Mar,4.7,10.5,25.4,1913-03-31,0,-6.3,1913-03-07
"		105",°­¸ª,13-Apr,11.6,17.8,25.3,1913-04-04,6.6,-0.7,1913-04-18
"		105",°­¸ª,13-May,16,21.1,31.2,1913-05-23,11.7,5.8,1913-05-03
"		105",°­¸ª,13-Jun,20.2,25.7,33.9,1913-06-10,16.1,11.5,1913-06-01
"		105",°­¸ª,13-Jul,21.3,25.2,33.8,1913-07-25,18.5,11.3,1913-07-09
"		105",°­¸ª,13-Aug,22.5,27.9,33.4,1913-08-11,18.6,13.7,1913-08-05
"		105",°­¸ª,13-Sep,19.4,25.7,30.5,1913-09-07,14.8,11.7,1913-09-21
"		105",°­¸ª,13-Oct,14.2,19.9,24.8,1913-10-01,10.2,6.3,1913-10-19
"		105",°­¸ª,13-Nov,9.2,14.8,23.3,1913-11-06,4.5,-6,1913-11-14
"		105",°­¸ª,13-Dec,1.8,5.8,13.1,1913-12-09,-1.8,-10.2,1913-12-18
"		105",°­¸ª,14-Jan,1.6,5.8,14.4,1914-01-13,-2.4,-8.4,1914-01-31
"		105",°­¸ª,14-Feb,1.9,5.9,14.6,1914-02-16,-1.6,-7,1914-02-11
"		105",°­¸ª,14-Mar,6.7,11.1,19.3,1914-03-21,2.9,-2.7,1914-03-26
"		105",°­¸ª,14-Apr,11.1,15.6,27.7,1914-04-22,6.6,-0.9,1914-04-05
"		105",°­¸ª,14-May,18.6,24.2,31.1,1914-05-17,13.7,6.4,1914-05-03
"		105",°­¸ª,14-Jun,20.7,25.4,32.6,1914-06-29,17.3,13.3,1914-06-04
"		105",°­¸ª,14-Jul,26.7,31,37.3,1914-07-17,23.4,17.8,1914-07-11
"		105",°­¸ª,14-Aug,24.2,28.6,34.1,1914-08-14,21,15.7,1914-08-30
"		105",°­¸ª,14-Sep,20.3,25.3,32.2,1914-09-06,16.8,11.7,1914-09-23
"		105",°­¸ª,14-Oct,14.2,19.6,25.9,1914-10-02,10.2,3.2,1914-10-21
"		105",°­¸ª,14-Nov,9.1,14.2,23.8,1914-11-03,4.4,-4.5,1914-11-28
"		105",°­¸ª,14-Dec,3,7.5,17.1,1914-12-01,-0.6,-6.9,1914-12-27
"		105",°­¸ª,15-Jan,-0.5,4.4,16.3,1915-01-27,-4.9,-20.2,1915-01-13
"		105",°­¸ª,15-Feb,0.1,4.7,13,1915-02-22,-4,-13.1,1915-02-28
"		105",°­¸ª,15-Mar,2.9,7.9,19,1915-03-04,-1.3,-11.7,1915-03-01
"		105",°­¸ª,15-Apr,10.1,15.4,23.7,1915-04-28,5.6,1.1,1915-04-01
"		105",°­¸ª,15-May,14.3,19.5,32,1915-05-29,10.4,4.8,1915-05-02
"		105",°­¸ª,15-Jun,21.9,26.9,33.6,1915-06-27,17.7,11.3,1915-06-01
"		105",°­¸ª,15-Jul,25.2,30,36.3,1915-07-23,21.5,13.3,1915-07-07
"		105",°­¸ª,15-Aug,23.3,27.5,32.2,1915-08-10,20.4,17.6,1915-08-30
"		105",°­¸ª,15-Sep,18.4,22.7,29,1915-09-19,15.4,11,1915-09-28
"		105",°­¸ª,15-Oct,14.7,19.3,26.5,1915-10-19,11,2.4,1915-10-28
"		105",°­¸ª,15-Nov,9.7,14.6,21.9,1915-11-05,5.6,-1.7,1915-11-19
"		105",°­¸ª,15-Dec,5,9.8,15.6,1915-12-06,0.4,-6.6,1915-12-18
"		105",°­¸ª,16-Jan,2.6,7.3,16.5,1916-01-09,-1.4,-9.3,1916-01-24
"		105",°­¸ª,16-Feb,0.8,5,11.7,1916-02-24,-2.5,-6.9,1916-02-14
"		105",°­¸ª,16-Mar,2.3,7.7,19,1916-03-29,-2,-9.9,1916-03-02
"		105",°­¸ª,16-Apr,10.2,15.6,23.8,1916-04-19,5.8,-1.7,1916-04-04
"		105",°­¸ª,16-May,16.1,22,33.5,1916-05-11,11.3,5.8,1916-05-03
"		105",°­¸ª,16-Jun,21,25.7,34,1916-06-03,17.4,13.7,1916-06-11
"		105",°­¸ª,16-Jul,23.1,27.3,33.2,1916-07-03,19.9,14.5,1916-07-02
"		105",°­¸ª,16-Aug,23.1,27.5,33.6,1916-08-19,20.2,15.7,1916-08-22
"		105",°­¸ª,16-Sep,19.4,23.8,31.8,1916-09-21,16.1,11.2,1916-09-29
"		105",°­¸ª,16-Oct,14.2,19.5,23.5,1916-10-22,10.1,3.6,1916-10-27
"		105",°­¸ª,16-Nov,8.9,13.5,18.5,1916-11-03,5.2,-4.7,1916-11-28
"		105",°­¸ª,16-Dec,2.9,8,16.6,1916-12-07,-1.4,-14.8,1916-12-27
"		105",°­¸ª,17-Jan,,1.6,8.4,1917-01-25,-8.1,-17,1917-01-08
"		105",°­¸ª,17-Feb,-0.7,3.9,11.1,1917-02-23,-4.5,-10.2,1917-02-02
"		105",°­¸ª,17-Mar,3.6,8.3,16.9,1917-03-31,-0.4,-8,1917-03-01
"		105",°­¸ª,17-Apr,11.1,17.3,25,1917-04-26,5.8,0.2,1917-04-11
"		105",°­¸ª,17-May,15.2,20.8,30,1917-05-18,10.1,2.4,1917-05-07
"		105",°­¸ª,17-Jun,20.5,26.8,34.2,1917-06-29,15.1,6.9,1917-06-06
"		105",°­¸ª,17-Jul,25.1,30.3,36.4,1917-07-25,21.4,16.6,1917-07-08
"		105",°­¸ª,17-Aug,24.5,29.6,36,1917-08-09,20.9,15.5,1917-08-25
"		105",°­¸ª,17-Sep,19.9,24.4,32,1917-09-06,16.5,11.5,1917-09-30
"		105",°­¸ª,17-Oct,14.3,19.8,25.5,1917-10-02,10.3,3.4,1917-10-30
"		105",°­¸ª,17-Nov,6.1,11.4,17.9,1917-11-03,1.4,-4.3,1917-11-28
"		105",°­¸ª,17-Dec,-1.6,3.2,15.1,1917-12-02,-5.5,-13.9,1917-12-26
"		105",°­¸ª,18-Jan,-2.4,3.1,9.7,1918-01-12,-6.7,-12.2,1918-01-07
"		105",°­¸ª,18-Feb,0.9,5.7,12,1918-02-25,-3.4,-13.4,1918-02-18
"		105",°­¸ª,18-Mar,4,9.5,18,1918-03-22,-0.5,-7.8,1918-03-02
"		105",°­¸ª,18-Apr,9.8,15.4,28.1,1918-04-18,5.5,-0.8,1918-04-04
"		105",°­¸ª,18-May,15.7,21,27.5,1918-05-16,11.7,4.1,1918-05-04
"		105",°­¸ª,18-Jun,21.6,27.1,33.5,1918-06-27,16.7,12.4,1918-06-01
"		105",°­¸ª,18-Jul,20.3,24.3,32.5,1918-07-31,17.4,13.2,1918-07-15
"		105",°­¸ª,18-Aug,23.4,28,34,1918-08-01,19.9,15,1918-08-21
"		105",°­¸ª,18-Sep,19.4,24.7,30.5,1918-09-05,15.1,11.5,1918-09-15
"		105",°­¸ª,18-Oct,14.3,19.8,26.1,1918-10-21,9.7,2.9,1918-10-25
"		105",°­¸ª,18-Nov,7.1,12,19.1,1918-11-01,2.5,-5.1,1918-11-11
"		105",°­¸ª,18-Dec,1.9,6.4,12.6,1918-12-01,-2.4,-9.5,1918-12-15
"		105",°­¸ª,19-Jan,-2.1,2,9,1919-01-07,-6,-14.3,1919-01-20
"		105",°­¸ª,19-Feb,0,5.4,14.3,1919-02-17,-5.8,-14.1,1919-02-05
"		105",°­¸ª,19-Mar,6.1,11.9,22.6,1919-03-24,1.4,-3.3,1919-03-26
"		105",°­¸ª,19-Apr,11.2,17.2,26.5,1919-04-09,5.4,-2,1919-04-01
"		105",°­¸ª,19-May,15.9,21.9,30.9,1919-05-30,10.7,2,1919-05-03
"		105",°­¸ª,19-Jun,18.8,23.5,33.9,1919-06-29,15.6,11.3,1919-06-01
"		105",°­¸ª,19-Jul,23.1,27.6,36.4,1919-07-23,19.7,12,1919-07-09
